,userID,index,visitByTheHour,weekOfYear,weekOfYear,dayOfWeek,cluster
0,32,0,11,5,5,4,2
1,140,1,5,1,1,2,2
2,195,2,15,6,6,3,2
3,19,3,22,11,11,2,2
4,84,4,20,1,1,1,2
5,15,5,8,10,10,1,2
6,137,6,13,10,10,1,2
7,193,7,14,1,1,5,2
8,159,8,3,7,7,5,2
9,106,9,11,2,2,4,2
10,27,10,9,3,3,1,2
11,59,11,20,4,4,6,2
12,27,12,6,7,7,4,2
13,157,13,10,12,12,0,2
14,113,14,11,11,11,1,2
15,109,15,20,5,5,5,2
16,86,16,10,8,8,2,2
17,133,17,18,3,3,5,2
18,22,18,0,1,1,0,2
19,85,19,16,1,1,5,2
20,131,20,0,2,2,6,2
21,182,21,23,4,4,6,2
22,28,22,16,11,11,5,2
23,0,23,1,8,8,5,2
24,79,24,23,2,2,0,2
25,111,25,17,10,10,3,2
26,125,26,17,12,12,3,2
27,125,27,14,4,4,1,2
28,61,28,15,6,6,1,2
29,43,29,6,2,2,0,2
30,161,30,17,7,7,3,2
31,81,31,23,11,11,1,2
32,38,32,16,1,1,0,2
33,149,33,3,7,7,5,2
34,116,34,11,11,11,1,2
35,179,35,1,12,12,1,2
36,92,36,4,7,7,4,2
37,83,37,16,7,7,2,2
38,61,38,14,9,9,4,2
39,2,39,1,6,6,0,2
40,163,40,8,10,10,4,2
41,189,41,18,11,11,5,2
42,136,42,6,2,2,1,2
43,35,43,1,1,1,6,2
44,189,44,13,3,3,5,2
45,84,45,2,13,13,0,2
46,7,46,5,5,5,2,2
47,31,47,23,7,7,0,2
48,65,48,14,9,9,2,2
49,105,49,8,13,13,1,2
50,129,50,12,1,1,2,2
51,138,51,15,2,2,2,2
52,90,52,13,5,5,0,2
53,131,53,20,10,10,1,2
54,74,54,10,13,13,2,2
55,44,55,0,9,9,5,2
56,198,56,8,4,4,0,2
57,189,57,10,1,1,4,2
58,120,58,22,4,4,4,2
59,160,59,23,3,3,1,2
